,DBLP_AUTO_pca_30_5_pairs_0,Cora_None_pca_64TRI,Citeseer_CCA_pca_300,IMDB_CLNL_pca_300,DBLP_CLNL_pca_30_5_pairs_0,Cora_CLNL_0,Cora_CCA_0,ACM_None_pca_32TRI,DBLP_CCA_pca_30,DBLP_CLL_pca_30,DBLP_None_pca_32zscore,ACM_CLL_pca_30,Cora_None_pca_64CONV,DBLP_CLL_pca_30_5_pairs_0,Cora_None_CONV,DBLP_CCA_pca_30_5_pairs_0,ratio,IMDB_CCA_pca_30,ACM_CCA_pca_300,Cora_AUTO_pca_30_5_pairs_0,Citeseer_None_pca_64TRI,cit_cl_linear_pca_10,Citeseer_None_pca_64CONV,DBLP_AUTO_pca_30,IMDB_AUTO_pca_30,ACM_CLL_pca_30_5_pairs_0,ACM_CCA_pca_30,DBLP_CLNL__5_pairs_0,Cora_None_TRI,DBLP_None_pca_32TRI,IMDB_AUTO_pca_30_5_pairs_0,Citeseer_AUTO_pca_30,Citeseer_CLNL_pca_30,Cora_CLL_pca_30_5_pairs_0,IMDB_CCA_pca_300,Cora_None_pca_64zscore,ACM_CCA_pca_30_5_pairs_0,IMDB_CLNL_pca_30_5_pairs_0,output_5_pairs_runs.log,Cora_CLL_0,IMDB_CLNL_pca_30,Actor_None_pca_30,IMDB_None_pca_32zscore,Actor_CCA_pca_30,ACM_AUTO_pca_30,ACM_CLNL_pca_30,Citeseer_CLL_pca_30,ACM_CLL_pca_300,Cora_None_zscore,IMDB_CLL_pca_30,ACM_None_pca_32zscore,ACM_AUTO_pca_300,Cora_AUTO_0,IMDB_CCA_pca_30_5_pairs_0,ACM_CLNL_pca_30_5_pairs_0,Cora_CLNL_pca_64_5_pairs_0,IMDB_AUTO_pca_300,Cora_CCA_pca_30_5_pairs_0,Actor_AUTO_pca_30,IMDB_None_pca_32TRI,Citeseer_None_pca_30,ACM_AUTO_pca_30_5_pairs_0,Actor_CLNL_pca_30,DBLP_CLNL_pca_30,IMDB_CLL_pca_300,Citeseer_None_pca_64zscore,IMDB_CLL_pca_30_5_pairs_0,Actor_CLL_pca_30
0,,,,,,,,"[0.9173748819641171, 0.9145420207743153, 0.9164305949008499]",,,"[0.8252993552348787, 0.8351243475591035, 0.8096407737181456]",,,,,,1.0,,,,,,,,,,,,,"[0.8256063862450107, 0.8213079521031624, 0.8167024869511821]",,,,,,,,,,,,,"[0.5922944220816562, 0.5759056929269695, 0.5767682576193215]",,,,,,,,"[0.9216241737488197, 0.9225684608120869, 0.9154863078375827]",,,,,,,,,"[0.5776308223116734, 0.5845313398504888, 0.5922944220816562]",,,,,,,,
1,,,,,,,,"[0.9211520302171861, 0.9131255901794145, 0.9206798866855525]",,,"[0.8200798280626344, 0.7992017193736567, 0.8099478047282775]",,,,,,0.9,,,,,,,,,,,,,"[0.8179306109917102, 0.7982806263432607, 0.8093337427080135]",,,,,,,,,,,,,"[0.5859689476710753, 0.5787809085681426, 0.5764807360552041]",,,,,,,,"[0.9183191690273843, 0.9164305949008499, 0.9202077431539188]",,,,,,,,,"[0.5690051753881541, 0.5925819436457734, 0.5767682576193215]",,,,,,,,
2,,,,,,,,"[0.9102927289896129, 0.9183191690273843, 0.9126534466477809]",,,"[0.8124040528093337, 0.7924470371507523, 0.81486030089039]",,,,,,0.8,,,,,,,,,,,,,"[0.7863064169481118, 0.7933681301811483, 0.8203868590727663]",,,,,,,,,,,,,"[0.5750431282346176, 0.5842438182863715, 0.573605520414031]",,,,,,,,"[0.9164305949008499, 0.9239848914069877, 0.9211520302171861]",,,,,,,,,"[0.5825186889016676, 0.5799309948246119, 0.5615296147211041]",,,,,,,,
3,,,,,,,,"[0.9150141643059491, 0.8947119924457035, 0.9008498583569405]",,,"[0.8124040528093337, 0.7890696960393, 0.7835431378569235]",,,,,,0.7,,,,,,,,,,,,,"[0.8053423395762972, 0.8145532698802579, 0.8231501381639545]",,,,,,,,,,,,,"[0.5621046578493387, 0.5761932144910868, 0.5635422656699253]",,,,,,,,"[0.9187913125590179, 0.9197355996222851, 0.9197355996222851]",,,,,,,,,"[0.5543415756181713, 0.5454284071305348, 0.5572167912593444]",,,,,,,,
4,,,,,,,,"[0.8871576959395656, 0.8942398489140698, 0.886685552407932]",,,"[0.8007368744243168, 0.7930610991710163, 0.7988946883635247]",,,,,,0.6,,,,,,,,,,,,,"[0.7863064169481118, 0.8004298434141849, 0.7973595333128646]",,,,,,,,,,,,,"[0.5715928694652099, 0.5580793559516963, 0.5376653248993675]",,,,,,,,"[0.9178470254957507, 0.9121813031161473, 0.9060434372049103]",,,,,,,,,"[0.569867740080506, 0.5621046578493387, 0.5618171362852213]",,,,,,,,
5,,,,,,,,"[0.9060434372049103, 0.9093484419263456, 0.9060434372049103]",,,"[0.7961314092723365, 0.8007368744243168, 0.815781393920786]",,,,,,0.5,,,,,,,,,,,,,"[0.8010439054344489, 0.802579060485109, 0.802272029474977]",,,,,,,,,,,,,"[0.5408280621046578, 0.5261644623346751, 0.551178838412881]",,,,,,,,"[0.9150141643059491, 0.9117091595845137, 0.9206798866855525]",,,,,,,,,"[0.5580793559516963, 0.5393904542840713, 0.5247268545140885]",,,,,,,,
6,,,,,,,,"[0.9187913125590179, 0.9145420207743153, 0.9206798866855525]",,,"[0.7887626650291679, 0.7942892232115444, 0.8013509364445809]",,,,,,0.4,,,,,,,,,,,,,"[0.776788455634019, 0.7952103162419404, 0.7933681301811483]",,,,,,,,,,,,,"[0.5520414031052329, 0.5267395054629097, 0.5431282346175963]",,,,,,,,"[0.9046270066100094, 0.8895184135977338, 0.9150141643059491]",,,,,,,,,"[0.5307648073605521, 0.5287521564117309, 0.5310523289246694]",,,,,,,,
7,,,,,,,,"[0.9055712936732767, 0.9093484419263456, 0.9112370160528801]",,,"[0.7681915873503223, 0.7645072152287381, 0.7804728277556033]",,,,,,0.3,,,,,,,,,,,,,"[0.7727970525023027, 0.7648142462388702, 0.7866134479582437]",,,,,,,,,,,,,"[0.5313398504887866, 0.5287521564117309, 0.5235767682576193]",,,,,,,,"[0.9117091595845137, 0.9008498583569405, 0.9003777148253069]",,,,,,,,,"[0.5258769407705578, 0.5250143760782059, 0.5169637722829212]",,,,,,,,
8,,,,,,,,"[0.9032105760151086, 0.892823418319169, 0.8984891406987724]",,,"[0.7430150445194965, 0.7347252072459318, 0.7249002149217071]",,,,,,0.2,,,,,,,,,,,,,"[0.7556033159349095, 0.736874424316856, 0.7470064476512128]",,,,,,,,,,,,,"[0.5120759056929269, 0.4971247843588269, 0.491661874640598]",,,,,,,,"[0.9022662889518414, 0.8951841359773371, 0.898961284230406]",,,,,,,,,"[0.4974123059229442, 0.5017251293847038, 0.49194939620471534]",,,,,,,,
9,,,,,,,,"[0.8847969782813976, 0.8574126534466477, 0.8781869688385269]",,,"[0.632483880871968, 0.6837580595640159, 0.645072152287381]",,,,,,0.1,,,,,,,,,,,,,"[0.7270494319926313, 0.6938900828983727, 0.7341111452256678]",,,,,,,,,,,,,"[0.43875790684301325, 0.4355951696377228, 0.4465209890741806]",,,,,,,,"[0.8668555240793201, 0.8725212464589235, 0.8781869688385269]",,,,,,,,,"[0.441345600920069, 0.44910868315123637, 0.45313398504887864]",,,,,,,,
10,,,,,,,,"[0.8186968838526912, 0.7941454202077431, 0.842304060434372]",,,"[0.52655818237642, 0.5302425544980043, 0.512741786920479]",,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.41719378953421504, 0.41288096607245545, 0.4148936170212766]",,,,,,,,"[0.8087818696883853, 0.8220018885741265, 0.7950897072710104]",,,,,,,,,"[0.3792409430707303, 0.41288096607245545, 0.39447958596894767]",,,,,,,,
11,,,,,,,,"[0.6114258734655336, 0.603399433427762, 0.7101038715769594]",,,"[0.3721215842800123, 0.33190052195271724, 0.33742708013509365]",,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.36946520989074183, 0.3671650373778033, 0.3671650373778033]",,,,,,,,"[0.6978281397544853, 0.615675165250236, 0.6189801699716714]",,,,,,,,,"[0.36745255894192064, 0.3663024726854514, 0.3663024726854514]",,,,,,,,
12,,,,,,,,"[0.5703493862134089, 0.5939565627950897, 0.5764872521246459]",,,"[0.2932146146760823, 0.30948725821307954, 0.2843107153822536]",,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.3680276020701553, 0.36831512363427255, 0.3723404255319149]",,,,,,,,"[0.5075542965061378, 0.4688385269121813, 0.49291784702549574]",,,,,,,,,"[0.3654399079930995, 0.3663024726854514, 0.36658999424956873]",,,,,,,,
