,Actor_CLNL_pca_30,DBLP_CLNL_pca_30_5_pairs_0,IMDB_CLNL_pca_300,DBLP_CCA_pca_30,IMDB_CLL_pca_300,IMDB_CCA_pca_30_5_pairs_0,ACM_CLNL_pca_30_5_pairs_0,DBLP_CLL_pca_30_5_pairs_0,DBLP_CLNL_pca_30,Citeseer_CLNL_pca_30,ratio,IMDB_AUTO_pca_30,ACM_CLL_pca_30,IMDB_CLL_pca_30,IMDB_CLL_pca_30_5_pairs_0,IMDB_CLNL_pca_30,Actor_CLL_pca_30,IMDB_AUTO_pca_300,IMDB_CCA_pca_300,ACM_AUTO_pca_30_5_pairs_0,ACM_CCA_pca_30,ACM_AUTO_pca_30,DBLP_CCA_pca_30_5_pairs_0,ACM_AUTO_pca_300,ACM_CCA_pca_30_5_pairs_0,cit_cl_linear_pca_10,Actor_CCA_pca_30,Citeseer_AUTO_pca_30,DBLP_CLNL__5_pairs_0,ACM_CLNL_pca_30,DBLP_AUTO_pca_30,IMDB_CCA_pca_30,IMDB_AUTO_pca_30_5_pairs_0,DBLP_AUTO_pca_30_5_pairs_0,Actor_AUTO_pca_30,ACM_CCA_pca_300,IMDB_CLNL_pca_30_5_pairs_0,ACM_CLL_pca_30_5_pairs_0,ACM_CLL_pca_300,Citeseer_None_pca_30,output_5_pairs_runs.log,Actor_None_pca_30,Citeseer_CLL_pca_30,DBLP_CLL_pca_30
0,,,,,,,"[0.9069877242681775, 0.9117091595845137, 0.9017941454202077, 0.9065155807365439, 0.9065155807365439]",,,,1.0,,,,,,,,,"[0.9126534466477809, 0.9126534466477809, 0.8994334277620396, 0.9046270066100094, 0.9093484419263456]",,,,,"[0.8980169971671388, 0.9050991501416431, 0.9107648725212465, 0.9022662889518414, 0.9017941454202077]",,,,,,,,,,,,,"[0.9150141643059491, 0.9036827195467422, 0.9074598677998111, 0.9069877242681775, 0.9074598677998111]",,,,,,
1,,,,,,,"[0.8975448536355052, 0.9041548630783758, 0.9126534466477809, 0.9036827195467422, 0.9150141643059491]",,,,0.9,,,,,,,,,"[0.8951841359773371, 0.8895184135977338, 0.9107648725212465, 0.8947119924457035, 0.8999055712936733]",,,,,"[0.9008498583569405, 0.8984891406987724, 0.9069877242681775, 0.892823418319169, 0.8947119924457035]",,,,,,,,,,,,,"[0.8961284230406044, 0.9098205854579793, 0.9050991501416431, 0.9065155807365439, 0.9046270066100094]",,,,,,
2,,,,,,,"[0.8994334277620396, 0.9150141643059491, 0.8999055712936733, 0.9036827195467422, 0.9036827195467422]",,,,0.8,,,,,,,,,"[0.8980169971671388, 0.8847969782813976, 0.8895184135977338, 0.9003777148253069, 0.896600566572238]",,,,,"[0.8635505193578848, 0.8847969782813976, 0.9003777148253069, 0.8918791312559018, 0.8994334277620396]",,,,,,,,,,,,,"[0.898961284230406, 0.9065155807365439, 0.8970727101038716, 0.8975448536355052, 0.8862134088762984]",,,,,,
3,,,,,,,"[0.874409820585458, 0.9074598677998111, 0.8956562795089708, 0.8999055712936733, 0.8876298394711992]",,,,0.7,,,,,,,,,"[0.8857412653446648, 0.8833805476864967, 0.8942398489140698, 0.9069877242681775, 0.9046270066100094]",,,,,"[0.8984891406987724, 0.892823418319169, 0.9008498583569405, 0.890462700661001, 0.9017941454202077]",,,,,,,,,,,,,"[0.8899905571293674, 0.8918791312559018, 0.882908404154863, 0.8692162417374882, 0.8947119924457035]",,,,,,
4,,,,,,,"[0.8881019830028328, 0.9060434372049103, 0.8909348441926346, 0.8942398489140698, 0.8895184135977338]",,,,0.6,,,,,,,,,"[0.8739376770538244, 0.8975448536355052, 0.9107648725212465, 0.8999055712936733, 0.9036827195467422]",,,,,"[0.8932955618508026, 0.898961284230406, 0.8635505193578848, 0.8980169971671388, 0.8909348441926346]",,,,,,,,,,,,,"[0.8871576959395656, 0.8923512747875354, 0.8914069877242682, 0.8814919735599622, 0.8956562795089708]",,,,,,
5,,,,,,,"[0.8914069877242682, 0.8947119924457035, 0.8980169971671388, 0.8942398489140698, 0.8890462700661]",,,,0.5,,,,,,,,,"[0.8706326723323891, 0.8814919735599622, 0.8583569405099151, 0.8508026440037771, 0.5075542965061378]",,,,,"[0.8748819641170916, 0.8663833805476865, 0.8814919735599622, 0.8970727101038716, 0.8885741265344664]",,,,,,,,,,,,,"[0.8862134088762984, 0.8432483474976393, 0.8748819641170916, 0.874409820585458, 0.8456090651558074]",,,,,,
6,,,,,,,"[0.8937677053824362, 0.8932955618508026, 0.8937677053824362, 0.8947119924457035, 0.8800755429650614]",,,,0.4,,,,,,,,,"[0.8555240793201133, 0.8701605288007555, 0.8215297450424929, 0.8597733711048159, 0.8621340887629839]",,,,,"[0.8706326723323891, 0.8711048158640227, 0.82766761095373, 0.8465533522190746, 0.5821529745042493]",,,,,,,,,,,,,"[0.876770538243626, 0.8701605288007555, 0.8663833805476865, 0.8635505193578848, 0.8555240793201133]",,,,,,
7,,,,,,,"[0.8899905571293674, 0.9065155807365439, 0.8961284230406044, 0.8895184135977338, 0.8536355051935789]",,,,0.3,,,,,,,,,"[0.7020774315391879, 0.8352219074598678, 0.37346553352219075, 0.8781869688385269, 0.724268177525968]",,,,,"[0.8819641170915958, 0.8621340887629839, 0.8210576015108593, 0.886685552407932, 0.8725212464589235]",,,,,,,,,,,,,"[0.8824362606232294, 0.8791312559017942, 0.8890462700661, 0.9145420207743153, 0.8914069877242682]",,,,,,
8,,,,,,,"[0.9017941454202077, 0.8635505193578848, 0.9041548630783758, 0.3432483474976393, 0.3432483474976393]",,,,0.2,,,,,,,,,"[0.37393767705382436, 0.3432483474976393, 0.3432483474976393, 0.37346553352219075, 0.3432483474976393]",,,,,"[0.3432483474976393, 0.3432483474976393, 0.8068932955618509, 0.8777148253068933, 0.8626062322946175]",,,,,,,,,,,,,"[0.3432483474976393, 0.8389990557129368, 0.7695939565627951, 0.8186968838526912, 0.8758262511803588]",,,,,,
9,,,,,,,"[0.3432483474976393, 0.3432483474976393, 0.908876298394712, 0.7445703493862134, 0.8220018885741265]",,,,0.1,,,,,,,,,"[0.6340887629839471, 0.3432483474976393, 0.3432483474976393, 0.3432483474976393, 0.3432483474976393]",,,,,"[0.3432483474976393, 0.3432483474976393, 0.3432483474976393, 0.37110481586402266, 0.3432483474976393]",,,,,,,,,,,,,"[0.882908404154863, 0.82766761095373, 0.7422096317280453, 0.8404154863078376, 0.874409820585458]",,,,,,
10,,,,,,,"[0.6893295561850803, 0.5580736543909348, 0.5760151085930123, 0.3432483474976393, 0.6548630783758262]",,,,0.02,,,,,,,,,"[0.37440982058545796, 0.3432483474976393, 0.3432483474976393, 0.3696883852691218, 0.42540132200188857]",,,,,"[0.31964117091595845, 0.31964117091595845, 0.31964117091595845, 0.31964117091595845, 0.31964117091595845]",,,,,,,,,,,,,"[0.7233238904627006, 0.5925401322001889, 0.6898016997167139, 0.682247403210576, 0.5698772426817753]",,,,,,
11,,,,,,,"[0.3437204910292729, 0.3432483474976393, 0.37393767705382436, 0.3437204910292729, 0.3432483474976393]",,,,0.01,,,,,,,,,"[0.49575070821529743, 0.47875354107648727, 0.43909348441926344, 0.38243626062322944, 0.37393767705382436]",,,,,"[0.5108593012275732, 0.5887629839471199, 0.4636449480642115, 0.4178470254957507, 0.6005665722379604]",,,,,,,,,,,,,"[0.34419263456090654, 0.7299338999055713, 0.34419263456090654, 0.8068932955618509, 0.3659112370160529]",,,,,,
12,,,,,,,"[0.3432483474976393, 0.3432483474976393, 0.3432483474976393, 0.3432483474976393, 0.3432483474976393]",,,,0.0,,,,,,,,,"[0.42540132200188857, 0.46222851746931065, 0.3871576959395656, 0.45372993389990557, 0.3885741265344665]",,,,,"[0.3829084041548631, 0.34796978281397545, 0.34608120868744097, 0.35363550519357884, 0.37488196411709157]",,,,,,,,,,,,,"[0.3371104815864023, 0.3371104815864023, 0.3371104815864023, 0.3432483474976393, 0.3371104815864023]",,,,,,
